pit_tag,date,visist.per.id,nest.id,sex,band.number,habitat,Number.of.SOSP.nestlings,SOSP.Age,Number.of.BHCO.Nestlings,year,Cuckolding.identified.by.any.method.95.,cuck.95,Cuckolding.identified.by.any.method.80.,X..of.epp.offspring.in.nest,X..of.offspring.sampled.that.are.epp
620000342,0018-05-21T04:56:02Z,8.037082584,11sjl18,male,277149459,urban,4,5,0,2018,1,yes,1,2,0.666666667
06200002D9,0018-06-22T04:56:02Z,3.915437428,15crl18,male,277149413,urban,2,0,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-23T04:56:02Z,5.069797736,15crl18,male,277149413,urban,4,1,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-24T04:56:02Z,5.455195546,15crl18,male,277149413,urban,4,2,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-25T04:56:02Z,6.750456112,15crl18,male,277149413,urban,4,3,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-30T04:56:02Z,7.531730903,15crl18,male,277149413,urban,4,8,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-27T04:56:02Z,8.011558966,15crl18,male,277149413,urban,4,5,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-28T04:56:02Z,8.04702376,15crl18,male,277149413,urban,4,6,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-29T04:56:02Z,8.124522917,15crl18,male,277149413,urban,4,7,0,2018,1,yes,1,1,0.25
06200002D9,0018-06-26T04:56:02Z,8.264869386,15crl18,male,277149413,urban,4,4,0,2018,1,yes,1,1,0.25
0620000A57,0019-04-27T04:56:02Z,2.049305951,01crl19,male,164192416,urban,1,0,0,2019,0,no,0,0,0
0620000A57,0019-04-28T04:56:02Z,4.008319153,01crl19,male,164192416,urban,4,1,0,2019,0,no,0,0,0
0620000A57,0019-04-29T04:56:02Z,4.306841856,01crl19,male,164192416,urban,4,2,0,2019,0,no,0,0,0
0620000A57,0019-05-02T04:56:02Z,4.829505636,01crl19,male,164192416,urban,4,5,0,2019,0,no,0,0,0
0620000A57,0019-04-30T04:56:02Z,4.97641893,01crl19,male,164192416,urban,4,3,0,2019,0,no,0,0,0
0620000A57,0019-05-01T04:56:02Z,5.041595251,01crl19,male,164192416,urban,4,4,0,2019,0,no,0,0,0
0620000A57,0019-05-03T04:56:02Z,6.085192698,01crl19,male,164192416,urban,4,6,0,2019,0,no,0,0,0
0620000A7C,0019-05-09T04:56:02Z,3.009381095,01sjl19,female,164192415,urban,5,10,0,2019,0,no,0,0,0
0620000A00,0019-05-09T04:56:02Z,6.296851574,01sjl19,male,162192417,urban,5,10,0,2019,0,no,0,0,0
0620000A7C,0019-05-08T04:56:02Z,6.331465853,01sjl19,female,164192415,urban,5,9,0,2019,0,no,0,0,0
0620000A7C,0019-05-07T04:56:02Z,7.075488155,01sjl19,female,164192415,urban,5,8,0,2019,0,no,0,0,0
0620000A00,0019-05-01T04:56:02Z,7.79768177,01sjl19,male,162192417,urban,5,2,0,2019,0,no,0,0,0
0620000A7C,0019-05-06T04:56:02Z,7.922443448,01sjl19,female,164192415,urban,5,7,0,2019,0,no,0,0,0
0620000A7C,0019-05-02T04:56:02Z,8.299028487,01sjl19,female,164192415,urban,5,3,0,2019,0,no,0,0,0
0620000A7C,0019-05-04T04:56:02Z,8.339169315,01sjl19,female,164192415,urban,5,5,0,2019,0,no,0,0,0
0620000A00,0019-05-02T04:56:02Z,8.403264078,01sjl19,male,162192417,urban,5,3,0,2019,0,no,0,0,0
0620000A7C,0019-05-05T04:56:02Z,8.4795666,01sjl19,female,164192415,urban,5,6,0,2019,0,no,0,0,0
0620000A7C,0019-05-01T04:56:02Z,8.497754971,01sjl19,female,164192415,urban,5,2,0,2019,0,no,0,0,0
0620000A00,0019-04-30T04:56:02Z,8.684521465,01sjl19,male,162192417,urban,5,1,0,2019,0,no,0,0,0
0620000A00,0019-05-03T04:56:02Z,9.44845949,01sjl19,male,162192417,urban,5,4,0,2019,0,no,0,0,0
0620000A7C,0019-05-03T04:56:02Z,9.527814193,01sjl19,female,164192415,urban,5,4,0,2019,0,no,0,0,0
0620000A00,0019-05-04T04:56:02Z,9.853372434,01sjl19,male,162192417,urban,5,5,0,2019,0,no,0,0,0
0620000A00,0019-05-06T04:56:02Z,10.6609139,01sjl19,male,162192417,urban,5,7,0,2019,0,no,0,0,0
0620000A7C,0019-04-30T04:56:02Z,10.86484137,01sjl19,female,164192415,urban,5,1,0,2019,0,no,0,0,0
0620000A00,0019-05-05T04:56:02Z,11.43499061,01sjl19,male,162192417,urban,5,6,0,2019,0,no,0,0,0
0620000A00,0019-05-08T04:56:02Z,12.27732306,01sjl19,male,162192417,urban,5,9,0,2019,0,no,0,0,0
0620000A00,0019-05-07T04:56:02Z,13.98195371,01sjl19,male,162192417,urban,5,8,0,2019,0,no,0,0,0
0620000A74,0019-04-30T04:56:02Z,3.538292184,05ijv19,male,271176049,rural,4,2,0,2019,0,no,0,0,0
0620000A74,0019-04-29T04:56:02Z,3.682464896,05ijv19,male,271176049,rural,5,1,0,2019,0,no,0,0,0
0620000A74,0019-05-01T04:56:02Z,4.963036963,05ijv19,male,271176049,rural,4,3,0,2019,0,no,0,0,0
0620000A74,0019-05-02T04:56:02Z,5.81131173,05ijv19,male,271176049,rural,4,4,0,2019,0,no,0,0,0
0620000A74,0019-05-05T04:56:02Z,7.048182156,05ijv19,male,271176049,rural,4,7,0,2019,0,no,0,0,0
0620000A74,0019-05-03T04:56:02Z,7.805693143,05ijv19,male,271176049,rural,4,5,0,2019,0,no,0,0,0
0620000A74,0019-05-04T04:56:02Z,8.051321288,05ijv19,male,271176049,rural,4,6,0,2019,0,no,0,0,0
0620000A74,0019-05-08T04:56:02Z,8.109431622,05ijv19,male,271176049,rural,4,10,0,2019,0,no,0,0,0
0620000A74,0019-05-07T04:56:02Z,8.598212686,05ijv19,male,271176049,rural,4,9,0,2019,0,no,0,0,0
0620000A74,0019-05-06T04:56:02Z,8.884642942,05ijv19,male,271176049,rural,4,8,0,2019,0,no,0,0,0
0620000A31,0019-05-09T04:56:02Z,4.942145519,12sjl19,male,277149479,urban,2,10,1,2019,0,no,0,0,0
0620000A31,0019-05-02T04:56:02Z,5.223447475,12sjl19,male,277149479,urban,2,3,1,2019,0,no,0,0,0
0620000A31,0019-05-03T04:56:02Z,5.269577946,12sjl19,male,277149479,urban,2,4,1,2019,0,no,0,0,0
0620000A31,0019-05-08T04:56:02Z,5.754950495,12sjl19,male,277149479,urban,2,9,1,2019,0,no,0,0,0
0620000A31,0019-05-05T04:56:02Z,6.19180357,12sjl19,male,277149479,urban,2,6,1,2019,0,no,0,0,0
0620000A31,0019-05-07T04:56:02Z,7.52255595,12sjl19,male,277149479,urban,2,8,1,2019,0,no,0,0,0
0620000A31,0019-05-04T04:56:02Z,7.759585492,12sjl19,male,277149479,urban,2,5,1,2019,0,no,0,0,0
0620000A31,0019-05-06T04:56:02Z,8.660728487,12sjl19,male,277149479,urban,2,7,1,2019,0,no,0,0,0
0620000A80,0019-06-09T04:56:02Z,0.51982557,13ijv19,male,164192481,urban,4,10,0,2019,0,no,0,0,0
0620000A80,0019-06-03T04:56:02Z,4.422000819,13ijv19,male,164192481,urban,5,4,0,2019,0,no,0,0,0
0620000A80,0019-06-08T04:56:02Z,4.546010021,13ijv19,male,164192481,urban,4,9,0,2019,0,no,0,0,0
0620000A80,0019-06-01T04:56:02Z,4.767323967,13ijv19,male,164192481,urban,5,2,0,2019,0,no,0,0,0
0620000A80,0019-06-02T04:56:02Z,5.11559272,13ijv19,male,164192481,urban,5,3,0,2019,0,no,0,0,0
0620000A80,0019-06-04T04:56:02Z,5.44388752,13ijv19,male,164192481,urban,4,5,0,2019,0,no,0,0,0
0620000A80,0019-06-06T04:56:02Z,5.852865465,13ijv19,male,164192481,urban,4,7,0,2019,0,no,0,0,0
0620000A80,0019-06-05T04:56:02Z,6.068719322,13ijv19,male,164192481,urban,4,6,0,2019,0,no,0,0,0
0620000A80,0019-06-07T04:56:02Z,7.296482412,13ijv19,male,164192481,urban,4,8,0,2019,0,no,0,0,0
620000673,0019-07-09T04:56:02Z,3.141361257,15ceh19,male,282192841,urban,2,10,1,2019,0,no,0,0,0
620000673,0019-07-02T04:56:02Z,5.305615886,15ceh19,male,282192841,urban,2,3,1,2019,0,no,0,0,0
620000673,0019-07-04T04:56:02Z,5.586934945,15ceh19,male,282192841,urban,2,5,1,2019,0,no,0,0,0
620000673,0019-07-03T04:56:02Z,5.723060247,15ceh19,male,282192841,urban,2,4,1,2019,0,no,0,0,0
620000673,0019-07-08T04:56:02Z,5.763924374,15ceh19,male,282192841,urban,2,9,1,2019,0,no,0,0,0
620000673,0019-07-05T04:56:02Z,6.862710488,15ceh19,male,282192841,urban,2,6,1,2019,0,no,0,0,0
620000673,0019-07-06T04:56:02Z,7.909328684,15ceh19,male,282192841,urban,2,7,1,2019,0,no,0,0,0
620000673,0019-07-07T04:56:02Z,7.910391768,15ceh19,male,282192841,urban,2,8,1,2019,0,no,0,0,0
0620000A5D,0019-07-06T04:56:02Z,4.16962451,28ijv19,male,277149546,urban,4,5,0,2019,0,no,0,0,0
0620000A5D,0019-07-07T04:56:02Z,4.48691317,28ijv19,male,277149546,urban,4,6,0,2019,0,no,0,0,0
0620000A5D,0019-07-13T04:56:02Z,4.49629295,28ijv19,male,277149546,urban,4,9,0,2019,0,no,0,0,0
0620000A5D,0019-07-08T04:56:02Z,5.30170355,28ijv19,male,277149546,urban,4,7,0,2019,0,no,0,0,0
0620000A5D,0019-07-12T04:56:02Z,6.462886277,28ijv19,male,277149546,urban,4,8,0,2019,0,no,0,0,0
0620000AB6,0019-06-28T04:56:02Z,5.147090681,29ijv19,male,277149485,urban,2,9,0,2019,0,no,0,0,0
0620000B07,0019-06-28T04:56:02Z,5.781068784,29ijv19,female,282192828,urban,2,9,0,2019,0,no,0,0,0
0620000AB6,0019-06-27T04:56:02Z,7.163459783,29ijv19,male,277149485,urban,2,8,0,2019,0,no,0,0,0
0620000AB6,0019-06-26T04:56:02Z,7.412076138,29ijv19,male,277149485,urban,2,7,0,2019,0,no,0,0,0
0620000A5D,0019-07-05T04:56:02Z,4.053945358,37sjl19,male,277149546,urban,4,9,0,2019,0,no,0,0,0
0620000A5D,0019-06-03T04:56:02Z,4.67117394,37sjl19,male,277149546,urban,4,8,0,2019,0,no,0,0,0
0620000A5D,0019-05-30T04:56:02Z,6.751366914,37sjl19,male,277149546,urban,4,1,0,2019,0,no,0,0,0
0620000A5D,0019-06-02T04:56:02Z,7.521772091,37sjl19,male,277149546,urban,4,4,0,2019,0,no,0,0,0
0620000A5D,0019-05-31T04:56:02Z,8.965876143,37sjl19,male,277149546,urban,4,2,0,2019,0,no,0,0,0
0620000A5D,0019-06-01T04:56:02Z,9.127176466,37sjl19,male,277149546,urban,4,3,0,2019,0,no,0,0,0
620000179,0019-07-12T04:56:02Z,3.923563177,62sjl19,male,277149417,urban,2,9,0,2019,0,no,0,0,0
620000179,0019-07-06T04:56:02Z,6.055005175,62sjl19,male,277149417,urban,2,3,0,2019,0,no,0,0,0
620000179,0019-07-11T04:56:02Z,6.236700876,62sjl19,male,277149417,urban,2,8,0,2019,0,no,0,0,0
620000179,0019-07-07T04:56:02Z,6.372844238,62sjl19,male,277149417,urban,2,4,0,2019,0,no,0,0,0
620000179,0019-07-09T04:56:02Z,6.743198383,62sjl19,male,277149417,urban,2,6,0,2019,0,no,0,0,0
620000179,0019-07-04T04:56:02Z,6.853051483,62sjl19,male,277149417,urban,2,1,0,2019,0,no,0,0,0
620000179,0019-07-10T04:56:02Z,7.723736497,62sjl19,male,277149417,urban,2,7,0,2019,0,no,0,0,0
620000179,0019-07-08T04:56:02Z,7.751937984,62sjl19,male,277149417,urban,2,5,0,2019,0,no,0,0,0
620000179,0019-07-05T04:56:02Z,7.830342577,62sjl19,male,277149417,urban,2,2,0,2019,0,no,0,0,0
0620000AED,0019-07-13T04:56:02Z,1.356647573,64sjl19,male,282192847,rural,2,6,0,2019,0,no,0,0,0
0620000AED,0019-07-07T04:56:02Z,2.062755798,64sjl19,male,282192847,rural,1,0,0,2019,0,no,0,0,0
0620000AED,0019-07-08T04:56:02Z,2.18214881,64sjl19,male,282192847,rural,2,1,0,2019,0,no,0,0,0
0620000AED,0019-07-09T04:56:02Z,2.517149498,64sjl19,male,282192847,rural,2,2,0,2019,0,no,0,0,0
0620000AED,0019-07-10T04:56:02Z,3.060998152,64sjl19,male,282192847,rural,2,3,0,2019,0,no,0,0,0
0620000AED,0019-07-11T04:56:02Z,3.421861895,64sjl19,male,282192847,rural,2,4,0,2019,0,no,0,0,0
0620000AED,0019-07-12T04:56:02Z,4.241948154,64sjl19,male,282192847,rural,2,5,0,2019,0,no,0,0,0
0620000A62,0019-06-14T04:56:02Z,4.051970932,43sjl19,female,164192462,urban,2,9,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-14T04:56:02Z,5.963855422,43sjl19,male,164192461,urban,2,9,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-13T04:56:02Z,7.076741035,43sjl19,female,164192462,urban,2,8,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-10T04:56:02Z,7.759263865,43sjl19,female,164192462,urban,3,5,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-11T04:56:02Z,8.138466973,43sjl19,female,164192462,urban,3,6,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-10T04:56:02Z,8.524321796,43sjl19,male,164192461,urban,3,5,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-13T04:56:02Z,8.644629059,43sjl19,male,164192461,urban,2,8,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-12T04:56:02Z,8.905133743,43sjl19,male,164192461,urban,3,7,1,2019,1,yes,1,1,0.5
0620000A62,0019-06-12T04:56:02Z,9.843113592,43sjl19,female,164192462,urban,3,7,1,2019,1,yes,1,1,0.5
0620000A36,0019-06-11T04:56:02Z,10.24492344,43sjl19,male,164192461,urban,3,6,1,2019,1,yes,1,1,0.5
0620000AE9,0019-07-01T04:56:02Z,7.250503507,53sjl19,female,282192822,rural,4,7,0,2019,1,yes,1,4,1
0620000AE9,0019-06-27T04:56:02Z,7.758980301,53sjl19,female,282192822,rural,4,3,0,2019,1,yes,1,4,1
0620000AE9,0019-06-29T04:56:02Z,8.084924117,53sjl19,female,282192822,rural,4,5,0,2019,1,yes,1,4,1
0620000AE9,0019-07-02T04:56:02Z,8.442146778,53sjl19,female,282192822,rural,4,8,0,2019,1,yes,1,4,1
0620000AE9,0019-06-26T04:56:02Z,8.476679851,53sjl19,female,282192822,rural,4,2,0,2019,1,yes,1,4,1
0620000AE9,0019-06-30T04:56:02Z,8.544831419,53sjl19,female,282192822,rural,4,6,0,2019,1,yes,1,4,1
0620000AE9,0019-06-28T04:56:02Z,8.599457316,53sjl19,female,282192822,rural,4,4,0,2019,1,yes,1,4,1
0620000AE9,0019-06-25T04:56:02Z,11.17971576,53sjl19,female,282192822,rural,4,1,0,2019,1,yes,1,4,1
06200009FE,0019-06-27T04:56:02Z,2.580275229,59sjl19,male,282192842,rural,3,0,0,2019,1,yes,1,4,1
06200009FE,0019-07-06T04:56:02Z,2.85419805,59sjl19,male,282192842,rural,4,9,0,2019,1,yes,1,4,1
06200009FE,0019-07-05T04:56:02Z,3.618163179,59sjl19,male,282192842,rural,4,8,0,2019,1,yes,1,4,1
06200009FE,0019-07-03T04:56:02Z,4.000689774,59sjl19,male,282192842,rural,4,6,0,2019,1,yes,1,4,1
06200009FE,0019-07-01T04:56:02Z,4.180274331,59sjl19,male,282192842,rural,4,4,0,2019,1,yes,1,4,1
06200009FE,0019-07-04T04:56:02Z,4.364318955,59sjl19,male,282192842,rural,4,7,0,2019,1,yes,1,4,1
06200009FE,0019-07-02T04:56:02Z,4.67426894,59sjl19,male,282192842,rural,4,5,0,2019,1,yes,1,4,1